   Elapsed time	   ECG1	   ECG2
       0:02.695	 -0.145	  0.065
       0:02.703	 -0.095	  0.085
       0:02.711	 -0.025	  0.025
       0:02.719	 -0.035	 -0.015
       0:02.727	 -0.075	 -0.045
       0:02.734	 -0.115	 -0.015
       0:02.742	 -0.145	 -0.005
       0:02.750	 -0.175	  0.015
       0:02.758	 -0.215	  0.005
       0:02.766	 -0.225	 -0.005
       0:02.773	 -0.235	 -0.015
       0:02.781	 -0.245	 -0.015
       0:02.789	 -0.255	 -0.005
       0:02.797	 -0.245	  0.005
       0:02.805	 -0.235	 -0.015
       0:02.813	 -0.185	  0.035
       0:02.820	 -0.725	  0.195
       0:02.828	 -0.905	 -0.025
       0:02.836	 -0.105	 -0.565
       0:02.844	  1.645	 -0.285
       0:02.852	  2.615	  0.155
       0:02.859	  2.535	  0.805
       0:02.867	  1.825	  0.085
       0:02.875	  0.275	 -0.805
       0:02.883	 -0.345	 -0.405
       0:02.891	 -0.325	 -0.075
       0:02.898	 -0.335	 -0.045
       0:02.906	 -0.365	 -0.075
       0:02.914	 -0.375	 -0.045
       0:02.922	 -0.395	 -0.045
       0:02.930	 -0.375	 -0.045
       0:02.938	 -0.395	 -0.075
       0:02.945	 -0.355	 -0.085
       0:02.953	 -0.325	 -0.065
       0:02.961	 -0.345	 -0.115
       0:02.969	 -0.325	 -0.115
       0:02.977	 -0.285	 -0.105
       0:02.984	 -0.285	 -0.115
       0:02.992	 -0.255	 -0.125
       0:03.000	 -0.275	 -0.145
       0:03.008	 -0.295	 -0.205
       0:03.016	 -0.135	 -0.215
       0:03.023	 -0.185	 -0.225
       0:03.031	 -0.185	 -0.295
       0:03.039	 -0.185	 -0.315
       0:03.047	 -0.215	 -0.305
       0:03.055	 -0.215	 -0.315
       0:03.063	 -0.285	 -0.305
       0:03.070	 -0.295	 -0.305
       0:03.078	 -0.305	 -0.265
       0:03.086	 -0.225	 -0.255
       0:03.094	 -0.195	 -0.205
       0:03.102	 -0.155	 -0.145
       0:03.109	 -0.145	 -0.065
       0:03.117	 -0.175	 -0.055
       0:03.125	 -0.165	 -0.035
       0:03.133	 -0.205	 -0.005
       0:03.141	 -0.145	  0.005
       0:03.148	 -0.185	  0.025
       0:03.156	 -0.215	  0.005
       0:03.164	 -0.215	  0.025
       0:03.172	 -0.185	  0.035
       0:03.180	 -0.195	  0.025
       0:03.188	 -0.255	  0.015
       0:03.195	 -0.185	  0.005
       0:03.203	 -0.205	  0.045
       0:03.211	 -0.225	  0.025
       0:03.219	 -0.165	  0.015
       0:03.227	 -0.155	  0.015
       0:03.234	 -0.185	  0.035
       0:03.242	 -0.205	  0.015
       0:03.250	 -0.205	  0.015
       0:03.258	 -0.215	  0.015
       0:03.266	 -0.175	  0.015
       0:03.273	 -0.185	  0.025
       0:03.281	 -0.215	  0.015
       0:03.289	 -0.185	  0.025
       0:03.297	 -0.125	  0.065
       0:03.305	 -0.125	  0.085
       0:03.313	 -0.155	  0.095
       0:03.320	 -0.095	  0.085
       0:03.328	  0.005	  0.035
       0:03.336	 -0.065	 -0.015
       0:03.344	 -0.135	 -0.025
       0:03.352	 -0.145	  0.015
       0:03.359	 -0.105	  0.045
       0:03.367	 -0.165	  0.045
       0:03.375	 -0.215	  0.025
       0:03.383	 -0.225	  0.015
       0:03.391	 -0.265	  0.025
       0:03.398	 -0.235	  0.015
       0:03.406	 -0.265	  0.025
       0:03.414	 -0.275	  0.005
       0:03.422	 -0.205	  0.045
       0:03.430	 -0.325	  0.165
       0:03.438	 -0.915	  0.085
       0:03.445	 -0.695	 -0.225
       0:03.453	  0.545	 -0.545
       0:03.461	  2.155	 -0.155
       0:03.469	  2.655	  0.435
       0:03.477	  2.375	  0.785
       0:03.484	  1.055	 -0.405
       0:03.492	 -0.215	 -0.585
       0:03.500	 -0.335	 -0.175
       0:03.508	 -0.345	 -0.005
       0:03.516	 -0.375	  0.005
       0:03.523	 -0.365	 -0.015
       0:03.531	 -0.385	 -0.015
       0:03.539	 -0.395	 -0.015
       0:03.547	 -0.365	 -0.015
       0:03.555	 -0.375	 -0.025
       0:03.563	 -0.355	 -0.035
       0:03.570	 -0.325	 -0.025
       0:03.578	 -0.315	 -0.035
       0:03.586	 -0.275	 -0.045
       0:03.594	 -0.245	 -0.075
       0:03.602	 -0.235	 -0.085
       0:03.609	 -0.215	 -0.075
       0:03.617	 -0.225	 -0.105
       0:03.625	 -0.205	 -0.115
       0:03.633	 -0.195	 -0.145
       0:03.641	 -0.205	 -0.165
       0:03.648	 -0.185	 -0.185
       0:03.656	 -0.185	 -0.205
       0:03.664	 -0.205	 -0.225
       0:03.672	 -0.225	 -0.205
       0:03.680	 -0.215	 -0.225
       0:03.688	 -0.215	 -0.235
       0:03.695	 -0.255	 -0.215
       0:03.703	 -0.235	 -0.165
       0:03.711	 -0.185	 -0.135
       0:03.719	 -0.165	 -0.065
       0:03.727	 -0.145	 -0.045
       0:03.734	 -0.135	  0.015
       0:03.742	 -0.155	  0.055
       0:03.750	 -0.155	  0.025
       0:03.758	 -0.145	  0.045
       0:03.766	 -0.135	  0.065
       0:03.773	 -0.155	  0.045
       0:03.781	 -0.165	  0.035
       0:03.789	 -0.165	  0.045
       0:03.797	 -0.145	  0.055
       0:03.805	 -0.165	  0.045
       0:03.813	 -0.185	  0.035
       0:03.820	 -0.145	  0.065
       0:03.828	 -0.175	  0.055
       0:03.836	 -0.135	  0.035
       0:03.844	 -0.165	  0.025
       0:03.852	 -0.135	  0.055
       0:03.859	 -0.125	  0.055
       0:03.867	 -0.135	  0.055
       0:03.875	 -0.145	  0.035
       0:03.883	 -0.145	  0.045
       0:03.891	 -0.125	  0.055
       0:03.898	 -0.135	  0.035
       0:03.906	 -0.115	  0.055
       0:03.914	 -0.075	  0.095
       0:03.922	 -0.075	  0.125
       0:03.930	 -0.095	  0.115
       0:03.938	  0.005	  0.095
       0:03.945	  0.075	  0.025
       0:03.953	 -0.005	 -0.005
       0:03.961	 -0.055	 -0.005
       0:03.969	 -0.095	  0.015
       0:03.977	 -0.075	  0.045
       0:03.984	 -0.115	  0.055
       0:03.992	 -0.145	  0.035
       0:04.000	 -0.225	  0.035
       0:04.008	 -0.175	  0.005
       0:04.016	 -0.165	  0.005
       0:04.023	 -0.195	  0.005
       0:04.031	 -0.155	  0.005
       0:04.039	 -0.135	  0.025
       0:04.047	 -0.185	  0.165
       0:04.055	 -0.745	  0.155
       0:04.063	 -0.695	 -0.165
       0:04.070	  0.475	 -0.625
       0:04.078	  2.205	 -0.105
       0:04.086	  2.795	  0.455
       0:04.094	  2.585	  0.855
       0:04.102	  1.415	 -0.265
       0:04.109	 -0.055	 -0.675
       0:04.117	 -0.295	 -0.285
       0:04.125	 -0.265	 -0.055
       0:04.133	 -0.295	 -0.025
       0:04.141	 -0.285	 -0.025
       0:04.148	 -0.285	 -0.015
       0:04.156	 -0.305	 -0.065
       0:04.164	 -0.295	 -0.065
       0:04.172	 -0.255	 -0.045
       0:04.180	 -0.275	 -0.045
       0:04.188	 -0.275	 -0.075
       0:04.195	 -0.225	 -0.075
       0:04.203	 -0.195	 -0.075
       0:04.211	 -0.185	 -0.105
       0:04.219	 -0.175	 -0.115
       0:04.227	 -0.155	 -0.145
       0:04.234	 -0.145	 -0.145
       0:04.242	 -0.145	 -0.165
       0:04.250	 -0.115	 -0.215
       0:04.258	 -0.135	 -0.245
       0:04.266	 -0.115	 -0.255
       0:04.273	 -0.105	 -0.265
       0:04.281	 -0.165	 -0.295
       0:04.289	 -0.145	 -0.295
       0:04.297	 -0.195	 -0.275
       0:04.305	 -0.165	 -0.265
       0:04.313	 -0.125	 -0.235
       0:04.320	 -0.145	 -0.215
       0:04.328	 -0.105	 -0.165
       0:04.336	 -0.055	 -0.105
       0:04.344	 -0.075	 -0.085
       0:04.352	 -0.075	 -0.045
       0:04.359	 -0.095	 -0.015
       0:04.367	 -0.065	  0.005
       0:04.375	 -0.075	  0.025
       0:04.383	 -0.105	  0.005
       0:04.391	 -0.095	  0.015
       0:04.398	 -0.085	  0.025
       0:04.406	 -0.135	 -0.005
       0:04.414	 -0.125	  0.005
       0:04.422	 -0.095	  0.025
       0:04.430	 -0.115	  0.025
       0:04.438	 -0.095	  0.005
       0:04.445	 -0.115	  0.005
       0:04.453	 -0.105	  0.015
       0:04.461	 -0.105	  0.005
       0:04.469	 -0.105	  0.005
       0:04.477	 -0.165	 -0.015
       0:04.484	 -0.145	  0.015
       0:04.492	 -0.065	  0.005
       0:04.500	 -0.095	  0.015
       0:04.508	 -0.095	  0.005
       0:04.516	 -0.065	  0.045
       0:04.523	 -0.015	  0.055
       0:04.531	 -0.035	  0.045
       0:04.539	 -0.025	  0.075
       0:04.547	  0.085	  0.015
       0:04.555	  0.015	 -0.035
       0:04.563	 -0.045	 -0.045
       0:04.570	 -0.085	 -0.025
       0:04.578	 -0.085	  0.005
       0:04.586	 -0.105	  0.005
       0:04.594	 -0.155	 -0.035
       0:04.602	 -0.155	 -0.035
       0:04.609	 -0.155	 -0.025
       0:04.617	 -0.185	 -0.015
       0:04.625	 -0.175	 -0.065
       0:04.633	 -0.175	 -0.015
       0:04.641	 -0.135	 -0.015
       0:04.648	 -0.305	  0.155
       0:04.656	 -0.855	  0.075
       0:04.664	 -0.455	 -0.205
       0:04.672	  0.895	 -0.395
       0:04.680	  2.455	 -0.145
       0:04.688	  2.815	  0.225
       0:04.695	  2.545	  0.645
       0:04.703	  1.225	 -0.535
       0:04.711	 -0.125	 -0.815
       0:04.719	 -0.325	 -0.315
       0:04.727	 -0.255	 -0.055
       0:04.734	 -0.285	 -0.035
       0:04.742	 -0.305	 -0.065
       0:04.750	 -0.335	 -0.055
       0:04.758	 -0.305	 -0.065
       0:04.766	 -0.275	 -0.045
       0:04.773	 -0.275	 -0.085
       0:04.781	 -0.305	 -0.105
       0:04.789	 -0.235	 -0.095
       0:04.797	 -0.235	 -0.085
       0:04.805	 -0.215	 -0.095
       0:04.813	 -0.205	 -0.135
       0:04.820	 -0.175	 -0.135
       0:04.828	 -0.155	 -0.155
       0:04.836	 -0.135	 -0.145
       0:04.844	 -0.155	 -0.185
       0:04.852	 -0.095	 -0.215
       0:04.859	 -0.105	 -0.215
       0:04.867	 -0.155	 -0.245
       0:04.875	 -0.135	 -0.265
       0:04.883	 -0.105	 -0.265
       0:04.891	 -0.145	 -0.255
       0:04.898	 -0.135	 -0.235
       0:04.906	 -0.195	 -0.245
       0:04.914	 -0.165	 -0.205
       0:04.922	 -0.115	 -0.145
       0:04.930	 -0.105	 -0.115
       0:04.938	 -0.125	 -0.105
       0:04.945	 -0.085	 -0.065
       0:04.953	 -0.075	 -0.025
       0:04.961	 -0.075	 -0.005
       0:04.969	 -0.075	 -0.005
       0:04.977	 -0.105	 -0.015
       0:04.984	 -0.135	  0.005
       0:04.992	 -0.125	 -0.005
       0:05.000	 -0.115	 -0.025
       0:05.008	 -0.095	 -0.015
       0:05.016	 -0.115	  0.005
       0:05.023	 -0.135	  0.025
       0:05.031	 -0.075	 -0.015
       0:05.039	 -0.095	  0.005
       0:05.047	 -0.105	  0.015
       0:05.055	 -0.115	  0.005
       0:05.063	 -0.105	 -0.045
       0:05.070	 -0.105	 -0.015
       0:05.078	 -0.095	 -0.015
       0:05.086	 -0.085	 -0.015
       0:05.094	 -0.075	 -0.005
       0:05.102	 -0.095	 -0.025
       0:05.109	 -0.095	 -0.005
       0:05.117	 -0.035	  0.045
       0:05.125	 -0.005	  0.045
       0:05.133	 -0.055	  0.065
       0:05.141	 -0.015	  0.075
       0:05.148	  0.085	  0.005
       0:05.156	  0.045	 -0.055
       0:05.164	 -0.005	 -0.065
       0:05.172	 -0.065	 -0.035
       0:05.180	 -0.055	 -0.025
       0:05.188	 -0.055	  0.005
       0:05.195	 -0.085	 -0.015
       0:05.203	 -0.125	 -0.035
       0:05.211	 -0.185	 -0.045
       0:05.219	 -0.125	 -0.035
       0:05.227	 -0.145	 -0.035
       0:05.234	 -0.155	 -0.025
       0:05.242	 -0.125	 -0.035
       0:05.250	 -0.155	  0.125
       0:05.258	 -0.735	  0.205
       0:05.266	 -0.715	 -0.025
       0:05.273	  0.385	 -0.445
       0:05.281	  2.005	 -0.245
       0:05.289	  2.805	 -0.045
       0:05.297	  2.735	  0.485
       0:05.305	  1.635	 -0.635
       0:05.313	  0.075	 -0.845
       0:05.320	 -0.205	 -0.235
       0:05.328	 -0.215	  0.015
       0:05.336	 -0.225	 -0.005
       0:05.344	 -0.275	 -0.035
       0:05.352	 -0.305	 -0.045
       0:05.359	 -0.285	 -0.035
       0:05.367	 -0.275	 -0.035
       0:05.375	 -0.265	 -0.065
       0:05.383	 -0.255	 -0.055
       0:05.391	 -0.275	 -0.055
       0:05.398	 -0.225	 -0.065
       0:05.406	 -0.175	 -0.075
       0:05.414	 -0.195	 -0.085
       0:05.422	 -0.175	 -0.065
       0:05.430	 -0.125	 -0.095
       0:05.438	 -0.075	 -0.115
       0:05.445	 -0.105	 -0.135
       0:05.453	 -0.075	 -0.135
       0:05.461	 -0.125	 -0.155
       0:05.469	 -0.095	 -0.165
       0:05.477	 -0.045	 -0.185
       0:05.484	 -0.085	 -0.175
       0:05.492	 -0.145	 -0.195
       0:05.500	 -0.185	 -0.225
       0:05.508	 -0.255	 -0.215
       0:05.516	 -0.205	 -0.175
       0:05.523	 -0.175	 -0.165
       0:05.531	 -0.145	 -0.145
       0:05.539	 -0.165	 -0.105
       0:05.547	 -0.115	 -0.085
       0:05.555	 -0.085	 -0.055
       0:05.563	 -0.085	 -0.045
       0:05.570	 -0.105	 -0.035
       0:05.578	 -0.115	 -0.015
       0:05.586	 -0.105	 -0.015
       0:05.594	 -0.135	  0.005
       0:05.602	 -0.145	 -0.015
       0:05.609	 -0.105	  0.005
       0:05.617	 -0.125	 -0.015
       0:05.625	 -0.135	 -0.035
       0:05.633	 -0.115	 -0.035
       0:05.641	 -0.105	 -0.005
       0:05.648	 -0.125	 -0.025
       0:05.656	 -0.125	 -0.005
       0:05.664	 -0.165	 -0.035
       0:05.672	 -0.095	 -0.005
       0:05.680	 -0.075	 -0.005
       0:05.688	 -0.105	 -0.015
       0:05.695	 -0.125	 -0.025
       0:05.703	 -0.135	 -0.005
       0:05.711	 -0.115	 -0.015
       0:05.719	 -0.115	 -0.035
       0:05.727	 -0.115	  0.015
       0:05.734	 -0.035	  0.025
       0:05.742	 -0.045	  0.045
       0:05.750	 -0.065	  0.065
       0:05.758	  0.025	  0.025
       0:05.766	  0.045	 -0.025
       0:05.773	 -0.025	 -0.065
       0:05.781	 -0.075	 -0.065
       0:05.789	 -0.105	 -0.025
       0:05.797	 -0.115	 -0.035
       0:05.805	 -0.115	 -0.025
       0:05.813	 -0.145	 -0.055
       0:05.820	 -0.175	 -0.045
       0:05.828	 -0.195	  0.005
       0:05.836	 -0.255	 -0.055
